# Média da estimativa de pi pelo método com rejeição após 1000000 passos
# amostra    seed    pi/4
0    1688596281.1441104    0.8129081870918129
1    1688596358.1791947    0.8103221896778103
2    1688596444.4170985    0.8116551883448117
3    1688596532.8920543    0.8111631888368112
4    1688596620.9566324    0.8120211879788121
5    1688596716.4376922    0.8108851891148109
6    1688596823.5703373    0.8097971902028098
7    1688596931.6937346    0.8118541881458119
8    1688597041.5293663    0.8136881863118137
9    1688597136.7985208    0.8116861883138117
10    1688597231.9764428    0.8097401902598097
11    1688597337.7346816    0.8118201881798118
12    1688597437.7619176    0.8090541909458091
13    1688597533.4950345    0.810995189004811
14    1688597629.0899167    0.8112171887828112
15    1688597723.9846308    0.8107001892998107
16    1688597819.4518304    0.8124571875428125
17    1688597914.5917063    0.811965188034812
18    1688598010.048466    0.8125121874878125
19    1688598105.3901725    0.8097241902758098
20    1688598201.896386    0.8116181883818117
21    1688598298.659371    0.8102471897528103
22    1688598394.6325786    0.8092651907348093
23    1688598490.8527122    0.8114841885158115
24    1688598587.3129494    0.8106061893938106
25    1688598682.7819026    0.8118721881278119
26    1688598779.3661747    0.8107291892708107
27    1688598876.8515732    0.8107541892458108
28    1688598963.8217669    0.8108531891468108
29    1688599050.7925138    0.8107291892708107
30    1688599137.673215    0.8133191866808133
31    1688599239.1269395    0.8118521881478119
32    1688599350.3339543    0.8104641895358105
33    1688599451.5988312    0.8133921866078134
34    1688599552.228449    0.8111601888398111
35    1688599652.4400396    0.8106791893208107
36    1688599754.2300172    0.812024187975812
37    1688599855.3538198    0.811914188085812
38    1688599950.5843556    0.8102551897448103
39    1688600046.3401604    0.8122661877338123
40    1688600143.1576853    0.8099561900438099
41    1688600239.1677992    0.808998191001809
42    1688600330.1071558    0.8114651885348114
43    1688600421.182249    0.8132661867338132
44    1688600511.926175    0.8121701878298122
45    1688600603.3464391    0.8083561916438083
46    1688600694.5137973    0.8112591887408113
47    1688600791.4624205    0.8096011903988096
48    1688600886.2723346    0.8117661882338117
49    1688600982.0071585    0.8094711905288094
50    1688601077.5775616    0.811034188965811
51    1688601172.578401    0.8088301911698088
52    1688601268.8903084    0.8113991886008114
53    1688601364.2683718    0.8094481905518095
54    1688601459.425141    0.8106071893928106
55    1688601554.3493578    0.8107061892938107
56    1688601648.5247984    0.809001190998809
57    1688601738.7224956    0.8118181881818118
58    1688601828.992498    0.8100921899078101
59    1688601920.1783392    0.8075581924418076
60    1688602010.5554466    0.8108801891198109
61    1688602101.4109356    0.8102311897688103
62    1688602191.3816648    0.8141331858668142
63    1688602284.7762814    0.811932188067812
64    1688602377.4445155    0.8111191888808111
65    1688602470.4710147    0.8112091887908112
66    1688602563.3459585    0.8082891917108083
67    1688602656.2172358    0.8113451886548113
68    1688602748.890223    0.813019186980813
69    1688602843.8684006    0.8083141916858083
70    1688602936.8898003    0.811971188028812
71    1688603032.732112    0.813004186995813
72    1688603129.8865147    0.8093751906248093
73    1688603231.4488883    0.8120931879068121
74    1688603328.3517065    0.8114651885348114
75    1688603422.4045353    0.8108691891308109
76    1688603516.8054814    0.8098741901258099
77    1688603611.184471    0.8097621902378097
78    1688603706.3536038    0.8134371865628134
79    1688603800.6341083    0.8115041884958115
80    1688603895.3039432    0.8098921901078099
81    1688603990.508894    0.8092531907468092
82    1688604090.9718003    0.8107511892488107
83    1688604196.267075    0.8101561898438101
84    1688604295.2046854    0.8125981874018126
85    1688604396.6105807    0.8092351907648092
86    1688604494.9251215    0.8125301874698125
87    1688604591.8138871    0.8133011866988133
88    1688604688.354073    0.8087251912748087
89    1688604788.5260112    0.8136691863308136
90    1688604883.2158985    0.8124851875148125
91    1688604977.7677712    0.812053187946812
92    1688605073.407418    0.8121021878978121
93    1688605163.8266606    0.8111941888058112
94    1688605254.2621746    0.8093891906108094
95    1688605344.4596639    0.8102661897338103
96    1688605435.0106087    0.8105121894878106
97    1688605526.4619615    0.8129741870258129
98    1688605619.0572941    0.8107851892148108
99    1688605709.757156    0.812044187955812
